"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Respondent Id"
"127","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-6 PRIA","API&IAS-TOILET-CGK T2-BL E6 TP","4","Untuk misholah yang ada bisa di perluas","4","4","4","9b113b94-29ab-49ce-a65d-76e4ef0b60c8"
"128","API dan IAS","SUB","4","T1,GATE 10 CONCOURSE 4,FAMILY","SUB-TOILE-T1-GATE 10 CONCOURSE 4,","5","Saya suka karna bersih wangi","5","5","5","3e4a4b25-9a73-4669-b7be-637fd90832b7"
"129","API dan IAS","KNO","3","TOILET,A4 WANITA","KNO-TW-A04","5","Bersih","5","5","5","e280bcad-bbaf-4d37-9600-8989d80eed93"
"130","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Pertahankan kualitas kebersihan toilet","5","5","5","b0a4bf85-5aef-41a4-9375-8eb2f125577d"
"131","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5",,"5","5","5","aba6dc32-2902-4e70-984c-db89ed02d925"
"132","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Layanan nya bagus","5","5","5","2d13c397-d766-4c8e-882f-7badc979072b"
"133","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Bersih dan nyaman. Semoga di luar area kedatangan imigrasi sebersih ini juga yaaa","5","5","5","884c1ca8-906c-4944-9606-1bfd6174efff"
"134","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","3","The toilet is very dirty spesaly in the miror to much water mark meybe is possibble clean properly thanks","3","3","3","b5a5354e-356a-41ad-9fc8-be550d9ed80c"
"135","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Pelayanan prima","5","5","5","d2f84540-3928-46b6-b403-65cffdfcec66"
"136","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Sangat baik di tingkatkan","5","5","5","3c2a03e4-ab56-416a-8a46-2075dd2522c8"
"137","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-4 PRIA","API&IAS-TOILET-CGK T2-BL E4 TP","5","Udah sangan bagus dan bersih","5","5","5","9a77e459-8e16-46b8-a124-53a5b857662f"
"138","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","4","Baik","4","4","4","68664a21-3f02-4911-a1bc-81201a9942c2"
"139","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","5","test","5","5","5","eec5debf-67b6-4e1e-90a5-1a3574c31610"
"140","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5",,"5","5","5","cc0c1c56-e2b1-4424-beb7-48a1ab8f8ea7"
"141","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Good","5","5","5","57c6d0a8-4902-440d-baa8-fdb2faab54b3"
"142","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Clean","5","5","5","0ca3a57f-807e-45bf-b3de-1079bfb91224"
"143","API dan IAS","CGK T2","1","TOILET T2E - DEPARTURE CURBSIDE PRIA","API&IAS-TOILET-CGK T2-PCI E TP","3","Toilet cukup bersih, namun wc dan perlengkapan nampaknya belum terawat baik, contoh dudukan wc yang tidak pas, sabun tidak ada (alat tanpa sentuh tapi sensor gerak namun ga ada sabunnya).
Di wastafel ada tissue yg menyumbat wastafel.","3","3","3","268093d4-bcc2-4cd3-b5dc-58ba06f9a182"
"144","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-6 PRIA","API&IAS-TOILET-CGK T2-BL E6 TP","5","Sudah memadai, tingkatkan","4","4","4","08c8abd9-1b2f-4d00-b57b-c68db840e8bc"
"145","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","4","Clean but a little wet.","4","4","4","0face8c5-e3e0-4c67-80a7-aae2a3b33040"
"146","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-6 PRIA","API&IAS-TOILET-CGK T2-BL E6 TP","4","Tingkatkan","4","4","4","8d399076-5a25-4004-ad8e-6e0664265a45"
"147","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR BEFORE SCP WANITA","B. SA. W","5","Kursi duduk untuk pakai spatu habis sholat","5","5","5","7797b411-2693-45c3-9e8b-01d04d5175ec"
"148","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5",,"5","5","5","fe7fba86-9840-4e5d-b8fd-e7626e4a86e5"
"149","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Ok baik dan bersih","5","5","5","1fcfeff6-29e6-434b-a141-fd9254d6a4d7"
"150","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Toilet ya Bersih dan memuaskan","5","5","5","5f0f4411-544b-4162-b0b3-380bcefd39cd"
"151","API dan IAS","CGK T2","1","TOILET T2D - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI D TW","5","Sudah di atas standar","3","5","3","53521868-d8d0-4727-8e47-d749ffca975b"
"152","API dan IAS","KNO","3","TOILET,D6 PRIA","KNO-TP-D06","5","Harapan semakin baik untuk kamar mandi shower room tambah 1 lagi karena intensitas menjelang hari2 besar akan banyak pemudik yang menggunakan fasilitas kamar mandi terima kasih..
Untuk kebersihan very good","5","5","4","f818bb67-a530-44cb-9a97-acc52565c41c"
"153","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-7 PRIA","API&IAS-TOILET-CGK T2-BL D7 TP","5","It is the most clean toilet all over the world!","5","5","5","785230a7-6cbb-4fbd-8e98-d6d3e99c3e0f"
"154","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-7 PRIA","A.BL7.P","5","baik","5","5","5","82b4c27c-a29f-4fd7-85bc-7c1121a91e20"
"155","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5",,"5","5","5","0569107e-b426-43c3-9be4-57822ee2c880"
"156","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","1","becek bau, tisu abis","1","1","1","f3e43e77-c741-445e-a2e4-2f10131bed46"
"157","API dan IAS","CGK T2","1","TOILET T2D - CURBSIDE KEBERANGKATAN WANITA","API&IAS-TOILET-CGK T2-PCI D TW","5","Ramah dan sopan pelayanannya.","5","5","5","586364e4-9669-485f-b6f2-c6ba2552c771"
"158","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-3 PRIA","B. BL3. P","5","Bersih &Wangi","5","5","5","0bd9e4f9-13b4-40f2-a8d6-a122e3259c8c"
"159","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Sangat bersih dan wangi","5","5","5","425fd83e-8939-43e0-8766-972c7515be32"
"160","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5","Mantap","5","5","5","9db70d78-a4cb-4f3c-9c6b-b5ba952b4bf2"
"161","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Bersih wangi dan ramah","5","5","5","cbb4c323-83bd-4de6-a636-04784940d441"
"162","API dan IAS","SUB","4","T1,GATE 1,PRIA","SUB-TOILE-T1-GATE 1,PRIA","5","Toilet bandara terbaik se Indonesia","5","5","5","429a1a59-0f93-4b47-ac09-392d3ab60627"
"163","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW","5",,"5","5","5","351d07fe-d265-4f88-b7e1-135065c29d7e"
"164","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-5 WANITA","B. BL5. W","5","bersih dan pelayanan ramah","5","5","5","07eeb9cb-111d-4338-b928-9ef96cc673f2"
"165","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Sudah bersih","5","5","5","f694eca8-29fb-4f5d-b246-bb6b43db0d3b"
"166","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","4","fasilitas toilet bagus, bersih","4","4","4","6cf3d63d-2f5d-4d63-834d-0b79d024b52b"
"167","API dan IAS","SUB","4","T2,B1,PRIA","SUB-TOILE-T2-B1,PRIA","5","Tambahkan hiasan bunga akan lebih bagus","5","5","5","59a82569-4de6-4b65-8482-fb3f8afe9693"
"168","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Ok","5","5","5","bf04d17d-5416-418e-a540-957cc0310eef"
"169","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-2 WANITA","B. BL2. W","4","Ada yang tidak safe (kipas) tidak ada penutupnya dan setinggi kepala manusia","4","4","4","e1df0621-c647-4d4a-b2cb-159d21e78ad5"
"170","API dan IAS","SUB","4","T1,LOBBY 3,WANITA","SUB-TOILE-T1-LOBBY 3,WANITA","3","masih ada orang yg pipis di lantai saat menggunakan toilet duduk, mengganggu kenyamanan (kalo semisal kena baju najis & ga bisa shalat)","5","5","1","820c17b6-18cc-47ca-a0e0-925c2c14ed27"
"171","API dan IAS","SUB","4","T1,GATE 6 CONCOURSE 7,PRIA","SUB-TOILE-T1-GATE 6 CONCOURSE 7,P","5","Baik","5","5","5","c00d6b44-21ce-4116-9c1b-533a860fd31d"
"172","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 1 (DIFABLE)","DPS-TOILET-DD07-DIFABLE","3","Musolahnya bau karpetnya, tolong diperhatikan juga jangan cuma toilet","5","5","3","e0cb305c-ed7e-4124-9564-371633cc161e"
"173","API dan IAS","CGK T1","1","TOILET T1B - CHECKIN PRIA","B. HCI. P","2","Air sprayer toilet tidak keluar airnya","4","4","4","2a3bd873-ad31-4583-9633-06187ab2b12e"
"174","API dan IAS","SUB","4","T2,B5,WANITA","SUB-TOILE-T2-B5,WANITA","4",,"5","5","5","bdf25816-9aaa-4647-9b7d-976b1022a834"
"175","API dan IAS","YIA","4","TOILET MEZZANINE TIMUR WANITA","YIA-TOI-MZ-T-W","5","Sangat bersihh","5","5","5","7de523f5-d97d-4155-b264-830de7ade2f0"
"176","API dan IAS","SUB","4","T1,GATE 10 CONCOURSE 4,FAMILY","SUB-TOILE-T1-GATE 10 CONCOURSE 4,","5","Wangi dan bersih","5","5","5","b3672499-1f11-46af-8c35-fad9aced3fef"
"177","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","ibunya ramah bgt + toiletnya selalu bersih ❤️","5","5","5","a8279ebd-e545-43f4-bf0c-868d048f4d5b"
"178","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5",,"5","5","5","493f6268-20e4-442b-a50d-a4a49ab4b87b"
"179","API dan IAS","SUB","4","T1,LOBBY 3,WANITA","SUB-TOILE-T1-LOBBY 3,WANITA","2","- toilet masih mau kotoran dan pesing
- kondisi toilet sering basah","5","4","4","57f73cb2-23ab-462c-a290-796e9c23b3be"
"180","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5",,"5","5","5","0fe84918-34f3-49f3-ab6a-241e0a731564"
"181","API dan IAS","YIA","4","TOILET MEZZANINE BARAT PRIA","YIA-TOI-MZ-B-P","4","Baiknya dikasih kamper di urinoirnya supaya mengurangi bau pesing","5","5","5","a7f5c55f-84db-4140-b1a3-cf2f683bddc1"
"182","API dan IAS","SUB","4","T1,GATE 1,WANITA","SUB-TOILE-T1-GATE 1,WANITA","5","Sabun tangan kurang lancar
Cahaya di kubikel kurang","4","4","4","94425b69-8028-48df-890d-35804bf6519b"
"183","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Mantap pelayanannya","5","5","5","c8e212e9-b7ad-4604-b1fc-40a078228558"
"184","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Tidak ada komentar","5","5","5","7750bb0c-6684-49c3-9512-53f44abcb1df"
"185","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Baik temen saya botak sangat senang memaki toiletnya","5","5","5","b69f6e84-3853-4a2b-83d5-ea549744f083"
"186","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5","Lebih baik lagi kalau semua toilet di bandara Kualanamu ini sama semua kebersihan nya
Baik itu toilet karyawan maupun toilet umum terimakasih","5","5","5","a09efcec-8382-4370-86a7-1a2c8a6e82e3"
"187","API dan IAS","CGK T1","1","TOILET T1B - PARKIR PRIA","Toilet Parkir B - Pria","3","Baik dan bersih , di sayangkan mushola untuk sholat di toilet depan shelter kalayang 1B di gunakan untuk tidur","4","3","3","fdaca68b-5e7e-4207-a01d-d2929608eb50"
"188","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Pertahamkan dan tingkatkan.","5","5","5","e05f0261-68ef-43fc-99d7-b2c9cee40aca"
"189","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-7 PRIA","API&IAS-TOILET-CGK T2-BL E7 TP","5","Baik","5","5","5","1ada0119-e3a0-4c54-860c-339d0fc3a22f"
"190","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Bagus","5","5","5","5bd92501-5c5f-434e-b730-82b8efe89970"
"191","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1","5","mantaappp","5","5","5","f8143cb1-6e1c-46db-8943-c90944446875"
"192","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Pertahankan kebersihannya ya","5","5","5","8630bb19-b942-41e4-963d-489789f8b38f"
"193","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-5 WANITA","B. BL5. W","5",,"4","4","5","c82b3222-92b4-4d76-89e2-68a68dc4b43d"
"194","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-4 PRIA","API&IAS-TOILET-CGK T2-BL D4 TP","4","Sangat baik","4","4","4","b61db409-2aac-439d-9520-89b930d1b8a3"
"195","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-1 PRIA","API&IAS-TOILET-CGK T2-BL E1 TP","5","Bagus","5","5","5","73d133d1-d556-405b-95b4-b95d4af41185"
"196","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Petugasnya ramah","5","5","5","67d3573f-1348-4e66-bc5d-5bea1d83db44"
"197","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","4","Rabu tgl 19 nov 2025 jam 08.05 toilet pria di dpn gate 5. Ada petugas bandara yg cuci peralatan minum dan sejenis nya di wastafel toilet. Hal tersebut membuat tdk nyaman karena lama dan antri untuk menggunakan nya. Mohon  untuk di evaluasi kebijakan penggunaan toilet. Terimakasih","4","3","4","00a1024e-adff-46a6-be9a-361e591ddc83"
"198","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","2","Ada 2 staff duduk dan ngobrol tp kubik 1 kotor ketika sblmnya kosong. Hose dan tissue di lantai, bekas pipis dan pijak di tmpt dudukan . Kotor","3","3","3","350a80f0-c8a5-4f3f-abb9-8fe1a3d977d2"
"199","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-2 PRIA","API&IAS-TOILET-CGK T2-BL E2 TP","5","Bersih dan putih, nyaman","5","5","5","860d300b-8c6d-4405-8841-875a77e4a41d"
"200","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","4","Tambahkan pewangi yg lebih harum","4","4","5","640c71af-4ce7-48c5-ab28-8c51081395a1"
"201","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-6 PRIA","API&IAS-TOILET-CGK T2-BL D6 TP","1","Beri teguran keras dan Surat Peringatan kepada  petugas laki-laki di toilet ini,  karena masuk ke toilet perempuan tanpa pemberitahuan dan tidak meminta maaf saat diperingatkan. 
Petugas laki-laki dimaksud bertugas pada tgl 18 November 2025 pukul 18.30 wib
Saya sangat keberatan dengan sikap petugas laki-laki tersebut.","1","3","1","87f184a8-e32e-42ec-af7e-a523bfdeb59b"
"202","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Penjaga nya sangat ramah","5","5","5","27fd2437-28f0-4825-ad5f-49d744ea04e1"
"203","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 3-4 (WANITA)","DPS-TOILET-DD05-W","1","Hand soap was so diluted there was no soap function left","4","1","5","bd047c3c-e0bb-4aba-916d-3c86a580f3ef"
"204","API dan IAS","SUB","4","T1,GATE 3,PRIA","SUB-TOILE-T1-GATE 3,PRIA","4","Mantaos","4","4","4","d9e75dea-68e7-4777-b0cc-e57168d818b1"
"205","API dan IAS","CGK T1","1","TOILET T1B - CURBSIDE WANITA","B. PCI. W","5","K","5","5","5","fd2baafe-c5d8-46a1-abed-39e5f9bfdc23"
"206","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Tolong kran paling ujung sebelah kiri di servis","5","5","5","2a4868a0-34ad-49a8-9eca-4d686bed2915"
"207","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Pelayanan nya ramah dan toiletnya sangat bersih","5","5","5","ca266896-0e6e-434e-a2ff-49717b2a0e6d"
"208","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (WANITA)","DPS-TOILET-DD03-W","4","Fasilitas toilet lengkap","5","5","5","45a1f779-46a7-476a-b775-d6858078cd5d"
"209","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (PRIA)","DPS-TOILET-DD03-P","5","Fasilitas toilet lengkap","4","5","5","96ada852-052c-4fbe-ae2d-06478fffb896"
"210","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (WANITA)","DPS-TOILET-DD03-W","5","Pelayanan baik dan ramah","5","5","5","36876db8-c078-444a-8293-84092e8cfdec"
"211","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (DIFABLE)","DPS-TOILET-DD03-DIFABLE","5","Fasilitas lengkap dan tertata","5","5","5","fc18b284-bd98-41c7-af8a-21abee4657e6"
"212","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (DIFABLE)","DPS-TOILET-DD03-DIFABLE","5","Pelayanan yang sangat ramah","5","5","5","d7a24a1a-9bb5-49d6-8702-11ca27925b5a"
"213","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (WANITA)","DPS-TOILET-DD01-W","5","Fasilitas toilet lengkap dan nyaman","5","5","5","fdf726c4-93cc-4462-bf11-f23326ec682a"
"214","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (PRIA)","DPS-TOILET-DD01-P","5","Fasilitas lengkap dan rapi","5","5","5","3bf81af1-a498-4883-bf66-84f11ce7291e"
"215","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Cukup","5","5","5","3a526d05-446d-443c-9135-7830682d5b5a"
"216","API dan IAS","KNO","3","TOILET,A4 PRIA","KNO-TP-A04","5","Sangat memuaskan","5","5","5","268819c5-6ead-41dd-ba4f-936a487e0db5"
"217","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Toilet nya bersih petugas nya ramah","5","5","5","249c1786-8c42-43d4-bf48-75f8ba49d550"
"218","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","4","Closet toilet laki laki sebaiknya diberi pelindung percikan air ke celana ketika buang air kecil posisi berdiri, karena celana dipakai untuk sholat bagi yang muslim. Terima kasih.","5","4","4","7457fe8b-86ba-43b2-97b3-c2540eacddbb"
"219","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Terbaik","5","5","5","adb78581-24cb-4170-b9a0-6f141269aac7"
"220","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","4","Petugas ramah","4","4","4","4262658b-61e2-4929-9f48-24bfdde870de"
"221","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5",,"5","5","5","f836097a-8e3b-443a-bea9-586de6c366b6"
"222","API dan IAS","CGK T2","1","TOILET T2E - ARRIVAL CORRIDOR WANITA","API&IAS-TOILET-CGK T2-CCA E TW","5","Toiletnya bagus ga ada yang kurang lagi pokok nya the best","5","5","4","0b7596bd-d165-4166-af96-83ebf2a1f2ef"
"223","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 1B (PRIA)","DPS-TOILET-DD08-P","4","Pertahankan wastafel selalu kondisi kering","4","4","4","86c63274-0d20-41c5-b7ad-485a8ffd8cdc"
"224","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 1B (WANITA)","DPS-TOILET-DD08-W","4","Accesoris toilet perlu pembaharuan","4","4","4","9c707c79-dcdf-4992-937c-4b5cffa97fe1"
"225","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","bagus","5","5","5","43ed4bd9-c4ce-4b61-a31d-324eaf39d224"
"226","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (DIFABLE)","DPS-TOILET-DD01-DIFABLE","5","Fasilitas toilet disabilitas lengkap dan bersih ,harum","5","5","5","968a8c06-5647-48d4-bb1b-9629bef4d31a"
"227","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (WANITA)","DPS-TOILET-DD01-W","5","Fasilitas toilet berfungsi dengan baik","5","5","5","f5133046-83c3-4810-bdb9-fa1c4508784c"
"228","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (PRIA)","DPS-TOILET-DD01-P","5","Fasilitas lengkap dan bersih","5","5","5","a81a8499-4ec1-4f41-861b-b2c140753da8"
"229","API dan IAS","DPS","2","TOILET KEDATANGAN DOMESTIK R. KEDATANGAN BELAKANG KONTER TIC (PRIA + DIFABLE)","DPS-TOILET-AD02-P","4","Petugasnya ramah","4","4","4","9ba42084-84f8-4d8c-97f2-1160a5d74acf"
"230","API dan IAS","DPS","2","TOILET KEDATANGAN DOMESTIK LOBBY AKSES KARYAWAN (PRIA + DIFABLE)","DPS-TOILET-AD04-P","4","Toiletnya bersih","4","4","4","cff6a5f3-34e4-4fba-a008-7f215abd8cda"
"231","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 5-6 (WANITA + DIFABLE)","DPS-TOILET-DD04-W","4","Fasilitas sudah bagus , tingkatkan lagi ya","4","4","4","d18e5046-4802-47ce-b6f3-328d64fe3588"
"232","API dan IAS","DPS","2","TOILET KEDATANGAN DOMESTIK R. KEDATANGAN CONVEYOR 5 (PRIA)","DPS-TOILET-AD03-P","4","Bersih kering dan harum","4","4","4","745585cb-ca19-4d21-887f-7249de65be60"
"233","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Terbaik","5","5","5","66810cb5-9f1b-4f1b-bcbb-7fb5a9df0f63"
"234","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (DIFABLE)","DPS-TOILET-DD01-DIFABLE","5","Kebersihan toilet disabilitas dan keharuman sangat bagus","5","5","5","88406eff-88b5-4440-b6bf-f23684eb95c1"
"235","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK CHECK IN BARAT (PRIA)","DPS-TOILET-DD01-P","5","Toilet bersih petugas ramah","5","5","5","65a20e57-fb1e-4302-a056-99489ea18a93"
"236","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (WANITA)","DPS-TOILET-DD03-W","5","toilet bersih tolong di pertahankan","5","5","5","89711a83-e4db-4b3e-a5c1-302fdac81930"
"237","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (WANITA)","DPS-TOILET-DD03-W","5","toilet nya bersih harum tolong di pertahankan dan petugasnya juga sangat ramah.","5","5","5","46ca942e-9c74-4869-b86d-5b497a51de7c"
"238","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 1B (WANITA)","DPS-TOILET-DD08-W","5","Pengharum agar d tambah lagi","4","5","4","3de28b84-5f7a-488d-b2d5-652355620ba4"
"239","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 1B (PRIA)","DPS-TOILET-DD08-P","4","Agar kebersihan toilet dan keharuman toilet tetap d pertahankan","4","5","4","cca3b6d7-5747-45d8-a91e-aeb4629fe84b"
"240","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 1 (PRIA)","DPS-TOILET-TDD07-P","4","Keramahtamahan petugas sangat bagus","4","4","4","91de55e0-a391-4ccd-9b0e-76a39e73561d"
"241","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 2 (WANITA + DIFABLE)","DPS-TOILET-DD06-W","5","Toilet sudah bersih dan ditingkatkan lagi","5","5","5","86ba2622-3c7e-469e-aafb-6e44d24f700d"
"242","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 2 (WANITA + DIFABLE)","DPS-TOILET-DD06-W","4","Agar tetap di pertahankan kebersihan dan keharuman toilet","4","5","4","6d6ee562-91c8-4c50-8b65-91af8e58cba9"
"243","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK GATE 2 (PRIA + DIFABLE)","DPS-TOILET-DD06-P","4","Tetep di pertahankan kebersihan dan keharuman toilet","4","5","4","4ed7439b-1cb9-479f-967b-555ff8b5aa8a"
"244","API dan IAS","DPS","2","TOILET KEBERANGKATAN INTERNASIONAL LOBBY SISI BARAT (PRIA + DIFABLE)","DPS-TOILET-3B-P","5","bagus","5","5","5","cf6e8134-d7c6-4a33-a5ce-6b44b203e80d"
"245","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Sudah cukup baik","5","5","5","04dacd93-acdc-4724-8518-2c7c64f99c60"
"246","API dan IAS","DPS","2","TOILET KEBERANGKATAN INTERNASIONAL ISLAND E TIMUR (WANITA)","DPS-TOILET-E.TIMUR-W","5",,"5","5","5","8864969a-4526-476f-a16e-6195bac2983f"
"247","API dan IAS","KNO","3","TOILET,P3 PRIA","KNO-TP-P03","5","Good","5","5","5","e6bf671b-6c35-4ff5-b271-00e6dac65b2c"
"248","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR AFTER SCP PRIA","CCD. B1","5","tambah fasilitas lagi antrinya panjang","5","5","5","b9902fa8-03f8-468b-bde7-5b61a3e46371"
